trial_id,timestamp,sequence,M4D_score,M4D_raw,M4D_amplified,learning_rate,efficiency
0,2026-01-06T09:03:36.207293,standard,1.3972594999999997,1.9960849999999997,1.3972594999999997,0.0,1.3972594999999997
1,2026-01-06T09:03:36.207358,standard,1.3157948941485031,1.8797069916407187,1.3157948941485031,-0.03095655022356867,0.36232033317132695
2,2026-01-06T09:03:36.207416,standard,1.2791293313177143,1.8273276161681635,1.2791293313177143,-0.013932913875699747,0.20423073357173588
3,2026-01-06T09:03:36.207474,standard,1.276487465685648,1.8235535224080688,1.276487465685648,-0.0010039089401852185,0.14351042513625628
4,2026-01-06T09:03:36.207531,standard,1.2992114310964016,1.8560163301377166,1.2992114310964016,0.008635106856086372,0.11271697347411702
5,2026-01-06T09:03:36.207587,standard,1.3403490729214618,1.9147843898878028,1.3403490729214618,0.01563230389352287,0.09467149585690622
6,2026-01-06T09:03:36.207650,standard,1.3943351885323452,1.9919074121890648,1.3943351885323452,0.02051472393213569,0.08304817737339987
7,2026-01-06T09:03:36.207707,standard,1.4567412596201998,2.0810589423145713,1.4567412596201998,0.023714307013384776,0.0750083575414195
8,2026-01-06T09:03:36.207764,standard,1.5240755050922368,2.1772507215603385,1.5240755050922368,0.02558701327937403,0.06911082242661694
9,2026-01-06T09:03:36.207820,standard,1.5936201037737192,2.2766001482481704,1.5936201037737192,0.026426947498963325,0.06456030271151528
10,2026-01-06T09:03:36.207876,standard,1.6632963073611367,2.376137581944481,1.6632963073611367,0.026476957363218624,0.06089138697468515
11,2026-01-06T09:03:36.207931,standard,1.7315510472880684,2.473644353268669,1.7315510472880684,0.025936801172234066,0.05781980649995307
12,2026-01-06T09:03:36.207987,standard,1.7972606966676234,2.567515280953748,1.7972606966676234,0.024969666764230913,0.05516632186863464
13,2026-01-06T09:03:36.208043,standard,1.8596490445539646,2.6566414922199497,1.8596490445539646,0.023707572196809613,0.05281514476311707
14,2026-01-06T09:03:36.208099,standard,1.9182174334111057,2.7403106191587225,1.9182174334111057,0.02225598776571365,0.05069002953381225
15,2026-01-06T09:03:36.208155,standard,1.9726855459120467,2.8181222084457813,1.9726855459120467,0.020697882750357593,0.04873995497051871
16,2026-01-06T09:03:36.208211,standard,2.022941625250571,2.8899166075008162,2.022941625250571,0.01909731014863928,0.04693026969445769
17,2026-01-06T09:03:36.208266,standard,2.069001068539507,2.955715812199296,2.069001068539507,0.0175025884497956,0.045237077447929375
18,2026-01-06T09:03:36.208322,standard,2.1109724134673558,3.015674876381937,2.1109724134673558,0.01594911107258253,0.043643608113035644
19,2026-01-06T09:03:36.208378,standard,2.149029788576974,3.0700425551099633,2.149029788576974,0.014461802541654958,0.042137838991705374
20,2026-01-06T09:03:36.208413,deep_understanding,3.0473624999999993,2.0315749999999997,3.0473624999999993,0.0,3.0473624999999993
21,2026-01-06T09:03:36.208470,deep_understanding,2.8696917201991594,1.9131278134661063,2.8696917201991594,-0.06751489632431916,0.7902049664316525
22,2026-01-06T09:03:36.208526,deep_understanding,2.789725714448661,1.859817142965774,2.789725714448661,-0.03038708218518943,0.4454183913825593
23,2026-01-06T09:03:36.208582,deep_understanding,2.783963919837711,1.8559759465584738,2.783963919837711,-0.0021894819521610207,0.3129900264906302
24,2026-01-06T09:03:36.208638,deep_understanding,2.8335239049686245,1.8890159366457497,2.8335239049686245,0.018832794349747183,0.24583084107033726
